"PointID","x","y","z","Displacement_x","Displacement_y","Displacement_z","Sxx","Syy","Sxy","Szz","Sxz","Syz","Von_Mises_Stress"
4340, 7.768866170675623e-01, 1.270594808565165e+00, -2.194351153845574e-02, -4.478033279485002e-10, 4.808339728443872e-10, -3.523154809799218e-09, 3.792059732831805e+03, 3.425989198925633e+03, -1.119454105668191e+02, 6.603234334411601e+03, -1.829871913262178e+03, 6.163025189010330e+02, 4.504239539562144e+03
4341, 7.793287547362540e-01, 1.290303778286296e+00, -2.171972955904004e-02, -8.374086713765122e-10, 5.030289072502094e-10, -3.452776270415182e-09, 3.395873922889758e+03, 4.205639525915713e+03, -5.076011096222732e+02, 5.332640734332193e+03, 2.625960537545217e+02, -2.629975202350801e+03, 4.956673711826569e+03
4342, 7.634837654959952e-01, 1.302271594321811e+00, -2.168228785171895e-02, -1.534578767651073e-09, 4.787676203959455e-10, -3.830370215393637e-09, 3.010894324383973e+03, 2.983698747108318e+03, 3.275216366330599e+02, 4.850401424580821e+03, -1.318820536520647e+03, -1.525722762722402e+02, 3.007334603446279e+03
4343, 4.860653019889980e-01, 3.249711635872071e-01, -3.440987015534514e-02, -1.068544972004436e-09, 7.146855301181613e-10, -5.090230298439461e-09, 3.096013071873469e+03, 3.061573003568666e+03, -4.756829796373751e+02, 6.071404396343112e+03, 1.035084896842548e+03, -1.447700273242888e+03, 4.374602347447094e+03
4344, 6.301230128719708e-01, 3.671692015440255e-01, -2.803423835992894e-02, -8.505736425017996e-10, 5.317599045288889e-10, -2.171686989130255e-09, 2.052876832573645e+03, 2.238003876501992e+03, -5.500195375789208e+01, 3.354722840879186e+03, -1.851262090369609e+02, -1.087231156338836e+03, 2.268517951235473e+03
4345, 3.615606900308531e-01, 4.406460322101899e-01, -3.481119274812822e-02, -1.574729016730926e-09, 1.980850346027465e-09, -8.036300379127267e-09, 5.491168013579789e+03, 4.609524601066256e+03, -6.107313365161364e+02, 7.828016857227456e+03, -1.097752519509522e+03, 1.693951824019510e+03, 4.651989191593389e+03
4346, 6.533549424079076e-01, 4.144106019373841e-01, -2.697760197242024e-02, -4.546162094725453e-10, 4.110186426242110e-10, -5.004937189264229e-09, 3.896204523490688e+03, 3.577974630659647e+03, 5.009377658182914e+01, 7.548424332775858e+03, -3.586343624925929e+02, 4.641453023409341e+02, 3.954984434966091e+03
4347, 6.631855736581965e-01, 4.933743410046658e-01, -2.679372707232918e-02, -8.895845558707516e-10, 4.773176522154000e-10, -1.904538926135444e-09, 1.828157128835743e+03, 1.559028195013448e+03, 5.330017693934860e+01, 1.792014834609296e+03, -6.471084060555897e+02, -4.945041686358088e+02, 1.436100074467136e+03
4348, 7.795844229980275e-01, 1.010131799099238e+00, -2.254863323586035e-02, -1.049450536665228e-09, 3.191560830478256e-10, -6.662642985037216e-09, 5.757582023843681e+03, 5.306199671775316e+03, -2.858259653473516e+02, 1.140979669809404e+04, 8.763009800552788e+02, -2.880064154843707e+02, 6.123743092426934e+03
4349, 6.730433025622631e-01, 5.723713318889900e-01, -2.658229839389928e-02, -7.949576015151192e-10, 3.821943036089205e-10, -2.464078209437255e-09, 2.784590556909600e+03, 2.609197618186686e+03, -2.164060580374988e+02, 3.311163716365388e+03, -1.276259486434086e+03, 1.215687398288168e+03, 3.140238257867963e+03
